"name_name","name_numofrating","name_avgrating","name_Price","name_freeshipping","name_substitutes","name_prevprice","name_actualnumrating","name_screensize","name_OS","name_howmanyleft"
"ZTE VZW-Z839PP Blade Vantage 5 16GB 1.1GHz 2GB Prepaid LTE Verizon Smartphone, Black, Carrier Locked to Verizon Prepaid","293","3.8 out of 5 stars","36.","FREE Shipping by Amazon","(45 used & new offers)","","","","",""
"($50 eGift Card Promotion) TracFone Carrier-Locked Samsung Galaxy J7 Crown 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - CDMA","885","4.3 out of 5 stars","69.","FREE Shipping by Amazon","(14 used & new offers)","","","","",""
"TracFone Carrier-Locked ZTE Blade T2 Lite 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - CDMA","700","4.2 out of 5 stars","29.","FREE Shipping by Amazon","","","","","",""
"Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM","","","56.","FREE Shipping by Amazon","(3 new offers)","$59.99","","","",""
"Tracfone Carrier-Locked LG Rebel 4 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - CDMA","482","4.3 out of 5 stars","38.","FREE Shipping by Amazon","(15 used & new offers)","","","","",""
"Net10 Samsung Galaxy J7 Crown 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA","149","4.2 out of 5 stars","76.","FREE Shipping by Amazon","(19 used & new offers)","","","","",""
"Moto E6 (2019) - Unlocked Smartphone - Global Version - 16GB - Starry Black (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, & Metro","58","3.8 out of 5 stars","108.","FREE Shipping by Amazon","(14 used & new offers)","$149.99","(58)","5.45 in","Android",""
"Net10 Carrier-Locked LG Rebel 4 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - CDMA","92","4.2 out of 5 stars","46.","FREE Shipping by Amazon","","$49.99","","","",""
"Total Wireless Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA","","","59.","FREE Shipping by Amazon","","","","","",""
"CAT PHONES S31 Unlocked Rugged Waterproof Smartphone, Network Certified (GSM), U.S. Optimized (Single Sim) with 2-year Warranty Including 2 Year Screen Replacement","70","3.8 out of 5 stars","329.","FREE Shipping by Amazon","(9 used & new offers)","$399.99","","","","Only 14 left in stock (more on the way)."
"Tracfone TCL A1X 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - SIM Card Included - CDMA","","","39.","FREE Shipping by Amazon","(2 used & new offers)","$59.99","","","",""
"Simple Mobile Blu View 1 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM","18","4.4 out of 5 stars","39.","FREE Shipping by Amazon","","","","","",""
"TracFone Carrier-Locked TCL A1 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - CDMA","82","3.2 out of 5 stars","29.","FREE Shipping by Amazon","","","","","",""
"Total Wireless Samsung Galaxy J7 Crown 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA","437","4.2 out of 5 stars","89.","FREE Shipping by Amazon","(14 used & new offers)","","(434)","5.5 in","",""
"Simple Mobile LG Premier Pro 4G LTE Prepaid Smartphone","10","4.4 out of 5 stars","43.","FREE Shipping by Amazon","(5 used & new offers)","","","","","Only 3 left in stock (more on the way)."
"Total Wireless Carrier-Locked Samsung Galaxy J3 Orbit 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - CDMA","439","3.8 out of 5 stars","59.","FREE Shipping by Amazon","(6 used & new offers)","","","","",""
"UNREAL Mobile LG X Charge CPO Prepaid Carrier Locked LTE Smartphone, 16GB - 5.5"" Screen - Black (U.S. Warranty)","1","2.0 out of 5 stars","106.","FREE Shipping by Amazon","(8 used & new offers)","$129.99","(1)","5.5 in","","Only 10 left in stock (more on the way)."
"TracFone LG Premier Pro 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA","34","3.9 out of 5 stars","79.","FREE Shipping by Amazon","(8 used & new offers)","","","","","Only 1 left in stock - order soon."
"LG K30-2019 Factory Unlocked Phone - 5.4"" Screen - Black (U.S. Warranty)","14","4.3 out of 5 stars","109.","FREE Shipping by Amazon","(9 used & new offers)","$139.99","","","",""
"Nokia 3.1 - Android 9.0 Pie - 16 GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 5.2"" Screen - Blue - U.S. Warranty","40","3.4 out of 5 stars","159.","FREE Shipping by Amazon","(3 used & new offers)","","","","","Only 7 left in stock (more on the way)."
"Net10 Samsung Galaxy J7 Sky Pro 4G LTE Prepaid Smartphone","7","3.1 out of 5 stars","149.","FREE Shipping by Amazon","(2 new offers)","","","","",""
"Sony Xperia XA F3111 4G LTE GSM Unlocked Smart Phone ATT Tmobile Metro Cricket Straight Talk (International Model)","","","77.","FREE Shipping by Amazon","","","","","",""
"FreedomPop Samsung Galaxy S5 LTE - Black - No Contract (Renewed)","12","3.1 out of 5 stars","236.","FREE Shipping by Amazon","","","","","","Only 2 left in stock - order soon."
"Plum Gator 5 - Rugged Phone 3G GSM Unlocked Water Shock Proof 13+5 MP Camera 16+2 GB Memory","4","3.7 out of 5 stars","106.","FREE Shipping by Amazon","","","","","","Only 6 left in stock (more on the way)."
